year,round_num,round_label,date,home,home_score,away,away_score,venue,url,home_win,score_diff,total_points,round_order,is_finals,margin,margin_category
2024,24,Round 24,2024-08-16,Roosters,38,Eels,14,Allianz Stadium,https://www.nrl.com/draw/nrl-premiership/2024/round-24/roosters-v-eels/,1,24,52,24,0,24,Comfortable (13-24)
2024,24,Round 24,2024-08-17,Bulldogs,30,Dolphins,10,Salter Oval,https://www.nrl.com/draw/nrl-premiership/2024/round-24/bulldogs-v-dolphins/,1,20,40,24,0,20,Comfortable (13-24)
2024,24,Round 24,2024-08-17,Cowboys,42,Raiders,4,Queensland Country Bank Stadium,https://www.nrl.com/draw/nrl-premiership/2024/round-24/cowboys-v-raiders/,1,38,46,24,0,38,Blowout (25+)
2024,24,Round 24,2024-08-17,Wests Tigers,18,Rabbitohs,16,Campbelltown Sports Stadium,https://www.nrl.com/draw/nrl-premiership/2024/round-24/wests-tigers-v-rabbitohs/,1,2,34,24,0,2,Close (1-6)
2024,24,Round 24,2024-08-18,Dragons,32,Titans,16,WIN Stadium,https://www.nrl.com/draw/nrl-premiership/2024/round-24/dragons-v-titans/,1,16,48,24,0,16,Comfortable (13-24)
2024,24,Round 24,2024-08-18,Sharks,19,Knights,18,PointsBet Stadium,https://www.nrl.com/draw/nrl-premiership/2024/round-24/sharks-v-knights/,1,1,37,24,0,1,Close (1-6)
2024,25,Round 25,2024-08-22,Wests Tigers,34,Sea Eagles,26,Leichhardt Oval,https://www.nrl.com/draw/nrl-premiership/2024/round-25/wests-tigers-v-sea-eagles/,1,8,60,25,0,8,Competitive (7-12)
2024,25,Round 25,2024-08-23,Warriors,18,Bulldogs,34,Go Media Stadium,https://www.nrl.com/draw/nrl-premiership/2024/round-25/warriors-v-bulldogs/,0,-16,52,25,0,16,Comfortable (13-24)
2024,25,Round 25,2024-08-23,Broncos,30,Eels,24,Suncorp Stadium,https://www.nrl.com/draw/nrl-premiership/2024/round-25/broncos-v-eels/,1,6,54,25,0,6,Close (1-6)
2024,25,Round 25,2024-08-24,Raiders,22,Panthers,18,GIO Stadium,https://www.nrl.com/draw/nrl-premiership/2024/round-25/raiders-v-panthers/,1,4,40,25,0,4,Close (1-6)
2024,25,Round 25,2024-08-24,Storm,48,Dolphins,6,AAMI Park,https://www.nrl.com/draw/nrl-premiership/2024/round-25/storm-v-dolphins/,1,42,54,25,0,42,Blowout (25+)
2024,25,Round 25,2024-08-24,Rabbitohs,16,Knights,36,Accor Stadium,https://www.nrl.com/draw/nrl-premiership/2024/round-25/rabbitohs-v-knights/,0,-20,52,25,0,20,Comfortable (13-24)
2024,25,Round 25,2024-08-25,Titans,22,Roosters,48,Cbus Super Stadium,https://www.nrl.com/draw/nrl-premiership/2024/round-25/titans-v-roosters/,0,-26,70,25,0,26,Blowout (25+)
2024,25,Round 25,2024-08-25,Dragons,10,Sharks,38,WIN Stadium,https://www.nrl.com/draw/nrl-premiership/2024/round-25/dragons-v-sharks/,0,-28,48,25,0,28,Blowout (25+)
2024,26,Round 26,2024-08-29,Cowboys,38,Storm,30,Queensland Country Bank Stadium,https://www.nrl.com/draw/nrl-premiership/2024/round-26/cowboys-v-storm/,1,8,68,26,0,8,Competitive (7-12)
2024,26,Round 26,2024-08-30,Bulldogs,22,Sea Eagles,34,Accor Stadium,https://www.nrl.com/draw/nrl-premiership/2024/round-26/bulldogs-v-sea-eagles/,0,-12,56,26,0,12,Competitive (7-12)
2024,26,Round 26,2024-08-30,Panthers,34,Rabbitohs,12,BlueBet Stadium,https://www.nrl.com/draw/nrl-premiership/2024/round-26/panthers-v-rabbitohs/,1,22,46,26,0,22,Comfortable (13-24)
2024,26,Round 26,2024-08-31,Eels,44,Dragons,40,CommBank Stadium,https://www.nrl.com/draw/nrl-premiership/2024/round-26/eels-v-dragons/,1,4,84,26,0,4,Close (1-6)
2024,26,Round 26,2024-08-31,Dolphins,40,Broncos,6,Suncorp Stadium,https://www.nrl.com/draw/nrl-premiership/2024/round-26/dolphins-v-broncos/,1,34,46,26,0,34,Blowout (25+)
2024,26,Round 26,2024-08-31,Sharks,28,Warriors,30,PointsBet Stadium,https://www.nrl.com/draw/nrl-premiership/2024/round-26/sharks-v-warriors/,0,-2,58,26,0,2,Close (1-6)
2024,26,Round 26,2024-09-01,Knights,36,Titans,14,McDonald Jones Stadium,https://www.nrl.com/draw/nrl-premiership/2024/round-26/knights-v-titans/,1,22,50,26,0,22,Comfortable (13-24)
2024,26,Round 26,2024-09-01,Roosters,12,Raiders,14,Allianz Stadium,https://www.nrl.com/draw/nrl-premiership/2024/round-26/roosters-v-raiders/,0,-2,26,26,0,2,Close (1-6)
2024,27,Round 27,2024-09-05,Broncos,12,Storm,50,Suncorp Stadium,https://www.nrl.com/draw/nrl-premiership/2024/round-27/broncos-v-storm/,0,-38,62,27,0,38,Blowout (25+)
2024,27,Round 27,2024-09-06,Wests Tigers,26,Eels,60,Campbelltown Sports Stadium,https://www.nrl.com/draw/nrl-premiership/2024/round-27/wests-tigers-v-eels/,0,-34,86,27,0,34,Blowout (25+)
2024,27,Round 27,2024-09-06,Rabbitohs,28,Roosters,36,Accor Stadium,https://www.nrl.com/draw/nrl-premiership/2024/round-27/rabbitohs-v-roosters/,0,-8,64,27,0,8,Competitive (7-12)
2024,27,Round 27,2024-09-07,Dragons,24,Raiders,26,Netstrata Jubilee Stadium,https://www.nrl.com/draw/nrl-premiership/2024/round-27/dragons-v-raiders/,0,-2,50,27,0,2,Close (1-6)
2024,27,Round 27,2024-09-07,Bulldogs,6,Cowboys,44,Accor Stadium,https://www.nrl.com/draw/nrl-premiership/2024/round-27/bulldogs-v-cowboys/,0,-38,50,27,0,38,Blowout (25+)
2024,27,Round 27,2024-09-07,Panthers,18,Titans,12,BlueBet Stadium,https://www.nrl.com/draw/nrl-premiership/2024/round-27/panthers-v-titans/,1,6,30,27,0,6,Close (1-6)
2024,27,Round 27,2024-09-08,Sea Eagles,20,Sharks,40,4 Pines Park,https://www.nrl.com/draw/nrl-premiership/2024/round-27/sea-eagles-v-sharks/,0,-20,60,27,0,20,Comfortable (13-24)
2024,27,Round 27,2024-09-08,Knights,14,Dolphins,6,McDonald Jones Stadium,https://www.nrl.com/draw/nrl-premiership/2024/round-27/knights-v-dolphins/,1,8,20,27,0,8,Competitive (7-12)
2024,28,Finals Week 1,2024-09-13,Panthers,30,Roosters,10,BlueBet Stadium,https://www.nrl.com/draw/nrl-premiership/2024/finals-week-1/game-1/,1,20,40,27,1,20,Comfortable (13-24)
2024,28,Finals Week 1,2024-09-14,Storm,37,Sharks,10,AAMI Park,https://www.nrl.com/draw/nrl-premiership/2024/finals-week-1/game-2/,1,27,47,27,1,27,Blowout (25+)
2024,28,Finals Week 1,2024-09-14,Cowboys,28,Knights,16,Queensland Country Bank Stadium,https://www.nrl.com/draw/nrl-premiership/2024/finals-week-1/game-3/,1,12,44,27,1,12,Competitive (7-12)
2024,28,Finals Week 1,2024-09-15,Bulldogs,22,Sea Eagles,24,Accor Stadium,https://www.nrl.com/draw/nrl-premiership/2024/finals-week-1/game-4/,0,-2,46,27,1,2,Close (1-6)
2024,29,Finals Week 2,2024-09-20,Sharks,26,Cowboys,18,Allianz Stadium,https://www.nrl.com/draw/nrl-premiership/2024/finals-week-2/game-1/,1,8,44,28,1,8,Competitive (7-12)
2024,29,Finals Week 2,2024-09-21,Roosters,40,Sea Eagles,16,Allianz Stadium,https://www.nrl.com/draw/nrl-premiership/2024/finals-week-2/game-2/,1,24,56,28,1,24,Comfortable (13-24)
2024,30,Finals Week 3,2024-09-27,Storm,48,Roosters,18,AAMI Park,https://www.nrl.com/draw/nrl-premiership/2024/finals-week-3/game-1/,1,30,66,29,1,30,Blowout (25+)
2024,30,Finals Week 3,2024-09-28,Panthers,26,Sharks,6,Accor Stadium,https://www.nrl.com/draw/nrl-premiership/2024/finals-week-3/game-2/,1,20,32,29,1,20,Comfortable (13-24)
2024,31,Grand Final,2024-10-06,Storm,6,Panthers,14,Accor Stadium,https://www.nrl.com/draw/nrl-premiership/2024/grand-final/storm-v-panthers/,0,-8,20,30,1,8,Competitive (7-12)
2024,32,Grand Final,2024-10-06,Storm,6,Panthers,14,Accor Stadium,https://www.nrl.com/draw/nrl-premiership/2024/grand-final/storm-v-panthers/,0,-8,20,30,1,8,Competitive (7-12)
2024,33,Grand Final,2024-10-06,Storm,6,Panthers,14,Accor Stadium,https://www.nrl.com/draw/nrl-premiership/2024/grand-final/storm-v-panthers/,0,-8,20,30,1,8,Competitive (7-12)
