year,round_num,round_label,date,home,home_score,away,away_score,venue,url,home_win,score_diff,total_points
2024,26,Round 26,2024-08-29 09:50:00+00:00,Cowboys,38,Storm,30,Queensland Country Bank Stadium,https://www.nrl.com/draw/nrl-premiership/2024/round-26/cowboys-v-storm/,1,8,68
2024,26,Round 26,2024-08-30 08:00:00+00:00,Bulldogs,22,Sea Eagles,34,Accor Stadium,https://www.nrl.com/draw/nrl-premiership/2024/round-26/bulldogs-v-sea-eagles/,0,-12,56
2024,26,Round 26,2024-08-30 10:00:00+00:00,Panthers,34,Rabbitohs,12,BlueBet Stadium,https://www.nrl.com/draw/nrl-premiership/2024/round-26/panthers-v-rabbitohs/,1,22,46
2024,26,Round 26,2024-08-31 05:00:00+00:00,Eels,44,Dragons,40,CommBank Stadium,https://www.nrl.com/draw/nrl-premiership/2024/round-26/eels-v-dragons/,1,4,84
2024,26,Round 26,2024-08-31 07:30:00+00:00,Dolphins,40,Broncos,6,Suncorp Stadium,https://www.nrl.com/draw/nrl-premiership/2024/round-26/dolphins-v-broncos/,1,34,46
2024,26,Round 26,2024-08-31 09:35:00+00:00,Sharks,28,Warriors,30,PointsBet Stadium,https://www.nrl.com/draw/nrl-premiership/2024/round-26/sharks-v-warriors/,0,-2,58
2024,26,Round 26,2024-09-01 04:00:00+00:00,Knights,36,Titans,14,McDonald Jones Stadium,https://www.nrl.com/draw/nrl-premiership/2024/round-26/knights-v-titans/,1,22,50
2024,26,Round 26,2024-09-01 06:05:00+00:00,Roosters,12,Raiders,14,Allianz Stadium,https://www.nrl.com/draw/nrl-premiership/2024/round-26/roosters-v-raiders/,0,-2,26
2024,27,Round 27,2024-09-05 09:50:00+00:00,Broncos,12,Storm,50,Suncorp Stadium,https://www.nrl.com/draw/nrl-premiership/2024/round-27/broncos-v-storm/,0,-38,62
2024,27,Round 27,2024-09-06 08:00:00+00:00,Wests Tigers,26,Eels,60,Campbelltown Sports Stadium,https://www.nrl.com/draw/nrl-premiership/2024/round-27/wests-tigers-v-eels/,0,-34,86
2024,27,Round 27,2024-09-06 10:00:00+00:00,Rabbitohs,28,Roosters,36,Accor Stadium,https://www.nrl.com/draw/nrl-premiership/2024/round-27/rabbitohs-v-roosters/,0,-8,64
2024,27,Round 27,2024-09-07 05:00:00+00:00,Dragons,24,Raiders,26,Netstrata Jubilee Stadium,https://www.nrl.com/draw/nrl-premiership/2024/round-27/dragons-v-raiders/,0,-2,50
2024,27,Round 27,2024-09-07 07:30:00+00:00,Bulldogs,6,Cowboys,44,Accor Stadium,https://www.nrl.com/draw/nrl-premiership/2024/round-27/bulldogs-v-cowboys/,0,-38,50
2024,27,Round 27,2024-09-07 09:35:00+00:00,Panthers,18,Titans,12,BlueBet Stadium,https://www.nrl.com/draw/nrl-premiership/2024/round-27/panthers-v-titans/,1,6,30
2024,27,Round 27,2024-09-08 04:00:00+00:00,Sea Eagles,20,Sharks,40,4 Pines Park,https://www.nrl.com/draw/nrl-premiership/2024/round-27/sea-eagles-v-sharks/,0,-20,60
2024,27,Round 27,2024-09-08 06:05:00+00:00,Knights,14,Dolphins,6,McDonald Jones Stadium,https://www.nrl.com/draw/nrl-premiership/2024/round-27/knights-v-dolphins/,1,8,20
2024,28,Finals Week 1,2024-09-13 09:50:00+00:00,Panthers,30,Roosters,10,BlueBet Stadium,https://www.nrl.com/draw/nrl-premiership/2024/finals-week-1/game-1/,1,20,40
2024,28,Finals Week 1,2024-09-14 06:05:00+00:00,Storm,37,Sharks,10,AAMI Park,https://www.nrl.com/draw/nrl-premiership/2024/finals-week-1/game-2/,1,27,47
2024,28,Finals Week 1,2024-09-14 09:50:00+00:00,Cowboys,28,Knights,16,Queensland Country Bank Stadium,https://www.nrl.com/draw/nrl-premiership/2024/finals-week-1/game-3/,1,12,44
2024,28,Finals Week 1,2024-09-15 06:05:00+00:00,Bulldogs,22,Sea Eagles,24,Accor Stadium,https://www.nrl.com/draw/nrl-premiership/2024/finals-week-1/game-4/,0,-2,46
2024,29,Finals Week 2,2024-09-20 09:50:00+00:00,Sharks,26,Cowboys,18,Allianz Stadium,https://www.nrl.com/draw/nrl-premiership/2024/finals-week-2/game-1/,1,8,44
2024,29,Finals Week 2,2024-09-21 09:50:00+00:00,Roosters,40,Sea Eagles,16,Allianz Stadium,https://www.nrl.com/draw/nrl-premiership/2024/finals-week-2/game-2/,1,24,56
2024,3,Round 3,2024-03-21 09:00:00+00:00,Panthers,34,Broncos,12,BlueBet Stadium,https://www.nrl.com/draw/nrl-premiership/2024/round-3/panthers-v-broncos/,1,22,46
2024,3,Round 3,2024-03-22 07:00:00+00:00,Warriors,18,Raiders,10,Apollo Projects Stadium,https://www.nrl.com/draw/nrl-premiership/2024/round-3/warriors-v-raiders/,1,8,28
2024,3,Round 3,2024-03-22 09:00:00+00:00,Roosters,48,Rabbitohs,6,Allianz Stadium,https://www.nrl.com/draw/nrl-premiership/2024/round-3/roosters-v-rabbitohs/,1,42,54
