year,round,match,home_team,away_team,ground_condition,weather,main_ref,first_try_scorer,first_try_minute,first_try_team,home_tries,home_run_metres,home_all_runs,home_post_contact_metres,home_kick_metres,home_kick_return_metres,home_line_breaks,home_tackle_breaks,home_missed_tackles,home_tackles_made,home_errors,home_offloads,home_penalties,home_completion_rate,home_effective_tackle,home_play_ball_speed,home_avg_set_distance,home_kicks,home_bombs,home_grubbers,home_intercepts,home_conversion_rate,home_kick_defusal,home_dummy_passes,home_sin_bins,away_tries,away_run_metres,away_all_runs,away_post_contact_metres,away_kick_metres,away_kick_return_metres,away_line_breaks,away_tackle_breaks,away_missed_tackles,away_tackles_made,away_errors,away_offloads,away_penalties,away_completion_rate,away_effective_tackle,away_play_ball_speed,away_avg_set_distance,away_kicks,away_bombs,away_grubbers,away_intercepts,away_conversion_rate,away_kick_defusal,away_dummy_passes,away_sin_bins,diff_tries,diff_run_metres,diff_all_runs,diff_post_contact_metres,diff_kick_metres,diff_kick_return_metres,diff_line_breaks,diff_tackle_breaks,diff_missed_tackles,diff_tackles_made,diff_errors,diff_offloads,diff_penalties,diff_completion_rate,diff_effective_tackle,diff_play_ball_speed,diff_avg_set_distance,diff_kicks,diff_bombs,diff_grubbers,diff_intercepts,diff_conversion_rate,diff_kick_defusal,diff_dummy_passes,diff_sin_bins
2021,3,Broncos v Bulldogs,Broncos,Bulldogs,Good,,Ben Cummins,Jamayne Isaako,58',broncos,4.0,2070.0,196.0,720.0,745.0,276.0,6.0,39.0,14.0,346.0,2.0,14.0,3.0,82.0,91.53,3.59,46.0,24.0,5.0,6.0,18.0,0.5,86.0,18.0,2.0,0.0,1647.0,178.0,572.0,560.0,205.0,1.0,14.0,39.0,365.0,5.0,8.0,2.0,75.0,86.08,3.14,45.76,21.0,3.0,3.0,20.0,0.0,62.0,12.0,0.0,4.0,423.0,18.0,148.0,185.0,71.0,5.0,25.0,-25.0,-19.0,-3.0,6.0,1.0,7.0,5.450000000000003,0.44999999999999973,0.240000000000002,3.0,2.0,3.0,-2.0,0.5,24.0,6.0,2.0
2021,3,Eels v Sharks,Eels,Sharks,Good,Fine,Adam Gee,Blake Ferguson,10',eels,5.0,2399.0,237.0,880.0,453.0,352.0,7.0,32.0,18.0,298.0,2.0,15.0,1.0,76.0,91.69,3.39,51.05,22.0,5.0,9.0,9.0,0.6,89.0,17.0,10.0,1.0,1437.0,155.0,581.0,530.0,127.0,5.0,18.0,32.0,374.0,6.0,6.0,0.0,81.0,88.0,3.45,43.55,23.0,3.0,4.0,19.0,0.0,75.0,9.0,4.0,4.0,962.0,82.0,299.0,-77.0,225.0,2.0,14.0,-14.0,-76.0,-4.0,9.0,1.0,-5.0,3.6899999999999977,-0.06000000000000005,7.5,-1.0,2.0,5.0,-10.0,0.6,14.0,8.0,6.0
2021,3,Knights v Wests Tigers,Knights,Wests Tigers,Good,,Gerard Sutton,Tex Hoy,15',knights,4.0,1738.0,201.0,545.0,422.0,156.0,4.0,27.0,30.0,351.0,0.0,14.0,3.0,66.0,90.46,3.65,41.4,18.0,8.0,5.0,7.0,0.5,43.0,1.0,,4.0,1564.0,175.0,495.0,656.0,145.0,4.0,30.0,27.0,361.0,3.0,5.0,3.0,87.0,86.99,3.82,40.12,25.0,9.0,5.0,27.0,1.0,82.0,17.0,,0.0,174.0,26.0,50.0,-234.0,11.0,0.0,-3.0,3.0,-10.0,-3.0,9.0,0.0,-21.0,3.469999999999999,-0.16999999999999993,1.2800000000000011,-7.0,-1.0,0.0,-20.0,-0.5,-39.0,-16.0,
2021,3,Cowboys v Titans,Cowboys,Titans,Good,,Peter Gough,Hamiso Tabuai-Fidow,43',cowboys,2.0,1438.0,170.0,448.0,364.0,132.0,3.0,23.0,42.0,310.0,5.0,9.0,1.0,71.0,82.67,3.48,44.94,16.0,2.0,4.0,23.0,0.0,62.0,4.0,0.0,7.0,1820.0,186.0,583.0,472.0,133.0,11.0,42.0,23.0,283.0,3.0,13.0,0.0,68.0,88.44,3.64,44.41,17.0,5.0,4.0,14.0,1.0,57.0,18.0,26.0,-5.0,-382.0,-16.0,-135.0,-108.0,-1.0,-8.0,-19.0,19.0,27.0,2.0,-4.0,1.0,3.0,-5.769999999999996,-0.16000000000000014,0.5300000000000011,-1.0,-3.0,0.0,9.0,-1.0,5.0,-14.0,-26.0
2021,4,Sea Eagles v Panthers,Sea Eagles,Panthers,Good,Fine,Matt Cecchin,Brian To'o,3',panthers,1.0,1248.0,148.0,414.0,550.0,158.0,1.0,22.0,305.0,3.0,10.0,7.0,2.0,77.0,85.67,3.66,34.68,21.0,1.0,4.0,32.0,1.0,29.0,7.0,6.0,7.0,1709.0,168.0,484.0,614.0,208.0,9.0,32.0,280.0,5.0,8.0,11.0,3.0,86.0,89.46,3.57,44.97,23.0,0.0,3.0,22.0,0.75,58.0,38.0,22.0,-6.0,-461.0,-20.0,-70.0,-64.0,-50.0,-8.0,-10.0,25.0,-2.0,2.0,-4.0,-1.0,-9.0,-3.789999999999992,0.0900000000000003,-10.29,-2.0,1.0,1.0,10.0,0.25,-29.0,-31.0,-16.0
2021,4,Bulldogs v Rabbitohs,Bulldogs,Rabbitohs,Good,,Grant Atkins,Josh Mansour,17',rabbitohs,0.0,1449.0,174.0,539.0,581.0,109.0,1.0,17.0,22.0,358.0,11.0,6.0,6.0,78.0,90.63,3.27,35.36,22.0,3.0,4.0,2.0,0.0,85.0,22.0,0.0,6.0,1974.0,200.0,670.0,414.0,211.0,3.0,22.0,17.0,364.0,13.0,9.0,3.0,76.0,92.62,3.29,38.71,19.0,1.0,7.0,0.0,1.0,78.0,13.0,14.0,-6.0,-525.0,-26.0,-131.0,167.0,-102.0,-2.0,-5.0,5.0,-6.0,-2.0,-3.0,3.0,2.0,-1.990000000000009,-0.020000000000000018,-3.3500000000000014,3.0,2.0,-3.0,2.0,-1.0,7.0,9.0,-14.0
2021,4,Storm v Broncos,Storm,Broncos,Good,,Gerard Sutton,Ryan Papenhuyzen,25',storm,7.0,1970.0,195.0,254.0,712.0,328.0,6.0,31.0,288.0,6.0,9.0,14.0,1.0,80.0,89.44,3.7,49.25,26.0,0.0,6.0,15.0,0.8333333333333334,100.0,17.0,24.0,1.0,1250.0,151.0,179.0,855.0,68.0,1.0,15.0,358.0,1.0,7.0,9.0,2.0,77.0,85.44,3.31,35.74,21.0,1.0,0.0,32.0,1.0,79.0,19.0,6.0,6.0,720.0,44.0,75.0,-143.0,260.0,5.0,16.0,-70.0,5.0,2.0,5.0,-1.0,3.0,4.0,0.3900000000000001,13.509999999999998,5.0,-1.0,6.0,-17.0,-0.16666666666666663,21.0,-2.0,18.0
2021,4,Sharks v Cowboys,Sharks,Cowboys,Good,Fine,Chris Sutton,Mawene Hiroti,2',sharks,8.0,1791.0,201.0,574.0,672.0,147.0,5.0,28.0,273.0,6.0,21.0,11.0,9.0,84.0,86.67,3.31,35.83,27.0,1.0,9.0,21.0,1.0,90.0,7.0,,2.0,1529.0,163.0,458.0,497.0,207.0,2.0,21.0,387.0,1.0,20.0,10.0,13.0,69.0,88.97,3.27,42.48,17.0,0.0,4.0,28.0,0.5,70.0,11.0,,6.0,262.0,38.0,116.0,175.0,-60.0,3.0,7.0,-114.0,5.0,1.0,1.0,-4.0,15.0,-2.299999999999997,0.040000000000000036,-6.649999999999999,10.0,1.0,5.0,-7.0,0.5,20.0,-4.0,
2021,4,Titans v Raiders,Titans,Raiders,Good,,Adam Gee,Corey Thompson,37',titans,1.0,1785.0,210.0,573.0,517.0,154.0,3.0,39.0,26.0,350.0,6.0,14.0,4.0,68.0,90.44,3.42,40.58,23.0,4.0,7.0,11.0,0.0,83.0,32.0,4.0,3.0,1619.0,188.0,535.0,552.0,154.0,3.0,26.0,39.0,387.0,3.0,6.0,3.0,76.0,86.38,3.47,37.66,22.0,8.0,1.0,22.0,1.0,62.0,2.0,8.0,-2.0,166.0,22.0,38.0,-35.0,0.0,0.0,13.0,-13.0,-37.0,3.0,8.0,1.0,-8.0,4.060000000000002,-0.050000000000000266,2.9200000000000017,1.0,-4.0,6.0,-11.0,-1.0,21.0,30.0,-4.0
2021,4,Knights v Dragons,Knights,Dragons,Good,,Peter Gough,Trent Merrin,27',dragons,2.0,1452.0,167.0,452.0,773.0,145.0,3.0,26.0,14.0,330.0,5.0,10.0,0.0,81.0,90.91,3.52,33.01,25.0,5.0,3.0,19.0,1.0,60.0,14.0,7.0,3.0,1476.0,164.0,472.0,657.0,206.0,2.0,14.0,26.0,381.0,1.0,11.0,4.0,80.0,90.5,3.55,41.03,21.0,5.0,3.0,14.0,0.75,77.0,12.0,6.0,-1.0,-24.0,3.0,-20.0,116.0,-61.0,1.0,12.0,-12.0,-51.0,4.0,-1.0,-4.0,1.0,0.4099999999999966,-0.029999999999999805,-8.020000000000003,4.0,0.0,0.0,5.0,0.25,-17.0,2.0,1.0
